category,priority_rank
Decor & Gifts,1
Storage & Furniture,2
Kitchen & Tableware,3
Bags & Carriers,4
Home Decor & Lighting,5
Stationery,6
Other,7
Garden & Outdoor,8
Seasonal / Holiday,9
Craft & Hobby,10
Utility & DIY,11
Textiles & Covers,12
Toys & Children,13
Accessories & Jewellery,14
Bakery & Serveware,15
Retro & Vintage,16
Organizers & Racks,17
Mirrors & Frames,18
Books & Journals,19
Easter & Spring,20
Cleaning Supplies,21
Souvenirs & Travel,22
Fantasy & Imaginative,23
Floral & Planters,24
Animal & Pet,25
Bath & Body,26
Beach & Summer,27
Cooking & Picnic,28
Office Supplies,29
Baby & Nursery,30
Travel & World,31
Sports & Fitness,32
